sentence,label
"“Expected iyun dahil maganda talaga at nakita kung paano pinaghirapan nila lalo na mga staff ng Darna,” pahayag nito.",0
” Si Ryan ang kauna-unahan niyang anak na magpapakasal at sa kanya siya magkakaroon ng first daughter in-law.,0
Nagitla na lamang ang mag-ama nang makara­ting sa kanilang tindahan at madatnan na isa nang malamig na bangkay ang ginang.,0
"Buwan ng Setyembre 28, 2008 araw ng linggo nu’ng akyatin ang tinitirhan namin sa Pa­nay Ave. Q.C., at nilimas ang mga alahas at pera na naipon ko mula nu’ng 1970 at iniwan kaming nakaluhod at nagpapasa­lamat sa mahal na Poong Nazareno at Sto.",0
Paulit-ulit na bumabalik ang sulat ng SSS sa kanila para humingi ng kung anu-anong kakulangan pa at kahit na paulit-ulit na ring natutugunan ang mga dagdag at pahabol na requirement ay hindi pa rin nare-release ang pension ng matatanda.,0
"Ayon pa rin kay Pinili, hindi umano matiyak kung ang mga namatay ay nakuryente o na-trap sa ilalim ng tubig baha sa nasabing lugar.",0
"Gayunpaman, nang mag-imbestiga ang isa pang mambabatas kung totoong nasa unahan ng listahan ang panukalang batas ng kongresistang ito ay natuklasan na huli na ito sa pila.",0
Inilalagay na nila sa napakalaking peligro ang kalusugan ng publiko sa kanilang tiwaling gawain.,0
Sila pa rin ang nagbigay kay Venus ng beauty title.,0
Ipinaliwanag ni Acosta na layon ng nasabing hakbang na na di magkaroon ng ibang kulay ang paghawak ng PAO lawyers sa kaso.,0
“Buksan natin ang ating mga mata sa naka­lulungkot na nangyayari sa Pilipinas.,0
"Sakali lang na maispatan ng LTO (pero duda ako rito dahil wala namang gaanong tauhan ang LTO) ang taksing ‘yon, ipatatawag ka rin ba dahil kaila­ngan ang complai­nant?",0
"Pinatunayan ito ng ‘Big Three’ ng Boston Celtics nang bugbugin sa kanilang pinag-usapang debut ang Heat, 88-80, noong Martes sa pagbubukas ng bagong season ng NBA.",0
"Sabi nga ng mga senior stars na kasama ko, sina Tito Leo (Martinez) at Tito Joel (Torre), kahit mahirap ang taping namin at paumagahan, suwerte pa rin kami dahil nasa ganitong klase ng lugar kami.",0
"Madalas na kasi niyang ginagawa ‘yon, na pumupuslit sa mga manunulat.",0
"Que big stars o ordinaryong empleado, masakit sa loob niya pag may nawawala o nagpapaalam.",0
"Si Michael V naman, consistent sa pagiging komikero.",0
Triple pa sa inaasahan niya.,0
"Secondary Sponsors ang mga kapatid ni Ciara na sina Apples Sotto pero, ang pamangkin niyang si KC Concepcion ang nakita naming tumayo at nagkabit at nagtanggal ng veil.",0
"Anyway, sa grupo naman ng mga dalagang rumampa, nangunguna pa rin ang alindog ng magkaibigang Katrina Halili at Cristine Reyes.",0
Naging malapit ako kay Mar Roxas mula pa noong 1991 kung kailan magkasama kaming tumagu­yod sa naunsyaming pagkandidato ni Chief Justice Marcelo Fernan sa pa­nguluhan ng bansa.,0
